INFO  - 2015-04-03 22:24:44.133; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/fontbox-1.8.8.jar' to classloader
INFO  - 2015-04-03 22:24:44.133; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/icu4j-54.1.jar' to classloader
INFO  - 2015-04-03 22:24:44.134; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/isoparser-1.0.2.jar' to classloader
INFO  - 2015-04-03 22:24:44.134; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/java-libpst-0.8.1.jar' to classloader
INFO  - 2015-04-03 22:24:44.135; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.135; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/jempbox-1.8.8.jar' to classloader
INFO  - 2015-04-03 22:24:44.136; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.136; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/jmatio-1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-04-03 22:24:44.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
